Datetime,Open,High,Low,Close,Volume
2025-03-25 12:50:00-04:00,574.65,575.07,574.6,575.02,245119
2025-03-25 12:55:00-04:00,575.01,575.09,574.7557,574.955,156379
2025-03-25 13:00:00-04:00,574.96,575.33,574.9502,575.3,252713
2025-03-25 13:05:00-04:00,575.3,575.54,575.18,575.5,205483
2025-03-25 13:10:00-04:00,575.49,575.515,575.07,575.11,242513
2025-03-25 13:15:00-04:00,575.13,575.13,574.65,574.72,306155
2025-03-25 13:20:00-04:00,574.72,574.835,574.45,574.54,254086
2025-03-25 13:25:00-04:00,574.535,574.535,574.02,574.18,424356
2025-03-25 13:30:00-04:00,574.19,574.46,574.17,574.395,329377
2025-03-25 13:35:00-04:00,574.37,574.5999,574.3,574.37,225785
2025-03-25 13:40:00-04:00,574.38,574.69,574.28,574.62,205094
2025-03-25 13:45:00-04:00,574.59,574.59,574.2,574.28,218119
2025-03-25 13:50:00-04:00,574.275,574.3685,574.09,574.3499,226230
2025-03-25 13:55:00-04:00,574.36,574.4966,574.09,574.125,136284
2025-03-25 14:00:00-04:00,574.12,574.29,574,574.16,308253
2025-03-25 14:05:00-04:00,574.145,574.385,573.8,574.349,535681
2025-03-25 14:10:00-04:00,574.35,574.65,574.07,574.64,1009968
2025-03-25 14:15:00-04:00,574.63,574.8,574.4,574.73,216944
2025-03-25 14:20:00-04:00,574.75,574.9499,574.6601,574.67,248815
2025-03-25 14:25:00-04:00,574.6609,574.67,574.29,574.41,270990
2025-03-25 14:30:00-04:00,574.42,574.5461,574.11,574.475,310258
2025-03-25 14:35:00-04:00,574.47,574.57,574.16,574.25,129804
2025-03-25 14:40:00-04:00,574.25,574.31,573.9,574.14,229636
2025-03-25 14:45:00-04:00,574.14,574.29,573.88,573.88,671403
2025-03-25 14:50:00-04:00,573.88,574.14,573.69,574.055,656037
2025-03-25 14:55:00-04:00,574.06,574.22,573.88,573.9393,360898
2025-03-25 15:00:00-04:00,573.88,574.38,573.88,574.335,441480
2025-03-25 15:05:00-04:00,574.34,574.52,574.2,574.44,272182
2025-03-25 15:10:00-04:00,574.45,574.61,573.99,574.1593,357550
2025-03-25 15:15:00-04:00,574.14,574.42,574.06,574.34,332629
2025-03-25 15:20:00-04:00,574.33,574.47,574.23,574.43,354409
