filing_date,owner_name,owner_cik,form_type,shares_beneficially_owned,percent_of_class,sole_voting_power,shared_voting_power,sole_dispositive_power,shared_dispositive_power,filing_url
2020-02-11,VANGUARD GROUP INC,102909,SC 13D/G,9516181,14.43,81386,12123,9434358,81823,https://www.sec.gov/Archives/edgar/data/102909/000110465920016604/tv0294-gamestopcorp.htm
2020-03-12,HESTIA CAPITAL PARTNERS LP,1456565,SC 13D,906600,1.38,0,906600,0,906600,https://www.sec.gov/Archives/edgar/data/1456565/000119380520000339/sc13da212166002_03122020.htm
2020-03-23,HESTIA CAPITAL PARTNERS LP,1456565,SC 13D,906600,1.38,0,906600,0,906600,https://www.sec.gov/Archives/edgar/data/1456565/000119380520000384/sc13da312166002_03232020.htm
2020-04-27,HESTIA CAPITAL PARTNERS LP,1456565,SC 13D,906600,1.41,0,906600,0,906600,https://www.sec.gov/Archives/edgar/data/1456565/000092189520001202/sc13da412166002_04272020.htm
2020-05-06,"Scion Asset Management, LLC",1649339,SC 13D,160,4.3,160,160,160,160,https://www.sec.gov/Archives/edgar/data/1649339/000090514820000563/efc20-411_sc13da.htm
2020-06-12,HESTIA CAPITAL PARTNERS LP,1456565,SC 13D,948600,1.46,0,948600,0,948600,https://www.sec.gov/Archives/edgar/data/1456565/000092189520001762/sc13da512166002_06122020.htm
2020-07-10,VANGUARD GROUP INC,102909,SC 13D/G,5419336,8.37,0,66829,5312076,107260,https://www.sec.gov/Archives/edgar/data/102909/000110465920082654/tv0009-gamestopcorpclassa.htm
2020-08-31,RC Ventures LLC,1822844,SC 13D,160,9.6,160,160,160,160,https://www.sec.gov/Archives/edgar/data/1822844/000101359420000673/rc13da1-083120.htm
2020-09-08,"Permit Capital, LLC",1313978,SC 13D,2554031,3.94,0,2554031,0,2554031,https://www.sec.gov/Archives/edgar/data/1313978/000092189520002369/sc13da612166002_09042020.htm
2020-09-21,RC Ventures LLC,1822844,SC 13D,160,9.98,160,160,160,160,https://www.sec.gov/Archives/edgar/data/1822844/000101359420000699/rc13da2-091820.htm
2020-11-17,RC Ventures LLC,1822844,SC 13D,160,9.98,160,160,160,160,https://www.sec.gov/Archives/edgar/data/1822844/000101359420000821/rc13da3-111620.htm
2020-12-21,RC Ventures LLC,1822844,SC 13D,9001000,12.9,9001000,0,9001000,0,https://www.sec.gov/Archives/edgar/data/1822844/000119380520001571/e620151_sc13da-gamestop.htm
2021-01-11,RC Ventures LLC,1822844,SC 13D,9001000,12.9,9001000,0,9001000,0,https://www.sec.gov/Archives/edgar/data/1822844/000119380521000031/e620202_sc13da-gamestop.htm
