week_ending,symbol,total_weekly_volume,ats_volume,otc_volume,ats_pct
2025-01-20,GME,12593979,2078328,10515651,0.16502552529268152
2025-01-27,GME,9520095,1671955,7848140,0.17562377266193246
2025-02-03,GME,10860214,2254347,8605867,0.20757850627989466
2025-02-10,GME,20927184,3630921,17296263,0.1735026078998493
2025-02-17,GME,12207693,2047457,10160236,0.1677185853215673
2025-02-24,GME,12631101,2606149,10024952,0.20632793609994884
2025-03-03,GME,9435555,2348340,7087215,0.24888202124835265
2025-03-10,GME,10664044,2488649,8175395,0.23336822316186992
2025-03-17,GME,7808916,1565698,6243218,0.2005013243835636
2025-03-24,GME,110421791,29423837,80997954,0.2664676666945205
2025-03-31,GME,43717422,8401322,35316100,0.19217331708168886
2025-04-07,GME,35755487,8562758,27192729,0.23948095015458745
2025-04-14,GME,16329671,3565950,12763721,0.21837243383531732
2025-04-21,GME,21400313,3819453,17580860,0.17847650172219442
2025-04-28,GME,16705012,3290207,13414805,0.19695927186403697
2025-05-05,GME,16942130,4355508,12586622,0.25708148857316054
2025-05-12,GME,27094936,5254442,21840494,0.19392708659655072
2025-05-19,GME,35776893,6956573,28820320,0.1944431843201141
2025-05-26,GME,53961114,10747079,43214035,0.19916340125965523
2025-06-02,GME,18347623,3503423,14844200,0.19094696898884395
2025-06-09,GME,149563222,42767039,106796183,0.2859462268070154
2025-06-16,GME,53269400,8790997,44478403,0.1650290222904707
2025-06-23,GME,34900369,4467747,30432622,0.1280143198485953
2025-06-30,GME,16842322,3112582,13729740,0.18480717801262794
2025-07-07,GME,30388128,5105741,25282387,0.16801762188180858
2025-07-14,GME,22005066,3752377,18252689,0.17052332403820103
2025-07-21,GME,30235572,5349585,24885987,0.1769301735055649
2025-07-28,GME,31170057,3548623,27621434,0.11384717711616632
2025-08-04,GME,14012542,2411479,11601063,0.17209432806695601
2025-08-11,GME,14175482,2492383,11683099,0.1758235099166293
2025-08-18,GME,13857722,2439203,11418519,0.17601760231587846
2025-08-25,GME,17305450,3560530,13744920,0.20574616667003748
2025-09-01,GME,20969482,3645745,17323737,0.17385956410368172
2025-09-08,GME,62223505,8913876,53309629,0.1432557680574246
2025-09-15,GME,24411816,4160068,20251748,0.17041206602573114
2025-09-22,GME,22417272,4571842,17845430,0.20394283479274375
2025-09-29,GME,25167394,5310792,19856602,0.21101874910052268
2025-10-06,GME,26171747,5180159,20991588,0.1979294313062097
2025-10-13,GME,15398554,2799085,12599469,0.18177583427638724
2025-10-20,GME,21809814,3280983,18528831,0.15043608349892393
2025-10-27,GME,19371716,3557418,15814298,0.1836397973210014
2025-11-03,GME,13817847,3344765,10473082,0.242061227049337
2025-11-10,GME,13953573,2959717,10993856,0.21211176520881067
2025-11-17,GME,14430493,3082712,11347781,0.21362485675298828
2025-11-24,GME,11589493,3449417,8140076,0.2976331233816699
2025-12-01,GME,19782043,4272252,15509791,0.2159661668918625
2025-12-08,GME,17942519,4653975,13288544,0.259382475782804
2025-12-15,GME,14475042,2850096,11624946,0.19689725252610665
2025-12-22,GME,9505535,1758420,7747115,0.18498906163619408
2025-12-29,GME,10725834,2712626,8013208,0.2529058346418563
2026-01-05,GME,18803137,2988231,15814906,0.15892193946148453
2026-01-12,GME,11260795,2066968,9193827,0.18355435828465042
2026-01-19,GME,19309753,4047203,15262550,0.20959372188758707
2026-01-26,GME,46332151,8875656,37456495,0.1915658092368731
